"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"PWR0900059","POWER",2004,5,735845.96,4265696.87,70,150
"PWR0900060","POWER",2004,5,736045.4,4265700.21,15,65
"PWR0900061","POWER",2004,5,736844.11,4265728.45,0,NA
"PWR0900063","POWER",2004,5,741048.13,4265863.07,83,150
"PWR0900066","POWER",2004,5,742650.96,4265918.68,32,40
"PWR0900070","POWER",2004,5,735449.26,4265483.78,26,20
"PWR0900071","POWER",2004,5,735649.97,4265488.92,40,140
"PWR0900072","POWER",2004,5,736060.25,4265494.12,0,NA
"PWR0900073","POWER",2004,5,736449.85,4265516.74,54,30
"PWR0900074","POWER",2004,5,736649.86,4265521.72,20,30
"PWR0900077","POWER",2004,5,740456.72,4265645.56,79,50
"PWR0900078","POWER",2004,5,740655.55,4265653.47,50,30
"PWR0900081","POWER",2004,5,741858.81,4265689.7,35,50
"PWR0900086","POWER",2004,5,735457.4,4265283.32,40,130
"PWR0900088","POWER",2004,5,736057.41,4265304.27,15,90
"PWR0900089","POWER",2004,5,736254.23,4265311.08,73,170
"PWR0900090","POWER",2004,5,736458.51,4265315.07,30,30
"PWR0900091","POWER",2004,5,736659.37,4265323.84,20,40
"PWR0900094","POWER",2004,5,739061.39,4265405.33,0,NA
"PWR0900098","POWER",2004,5,740462.74,4265446.25,12,30
"PWR0900099","POWER",2004,5,740662.29,4265453.19,40,30
