"FIRE_YEAR","FIRE_NAME","VB_ID","NUM_ASSESS","NIFMID_LNK","AGENCY","ICS_CODE","EDIT_DATE"
"1988"," ","1988USF05131988000074",1,"USF05131988000074","USF","SQF",20080520
"1988"," ","1988USF05131988000087",1,"USF05131988000087","USF","SQF",20080520
"1988","1988CAINF00005323","1988CAINF00005323",1,"USF05041988005323","USF","INF",0
"1988","1988CALNF00000155","1988CALNF00000155",1,"USF05061988000155","USF","LNF",20110516
"1988","1988CAPNF00000282","1988CAPNF00000282",1,"USF05111988000282","USF","PNF",20110414
"1988","1988NVTOI00000135","1988NVTOI00000135",1,"USF05211988000135","USF","TOI",20040108
"1988","ALASKA","1988ALASKA",1,"NPS05001988000088","NPS","YNP",20040819
"1988","ANITA","1988ANITA",1,"NPS05001988000139","NPS","YNP",20040819
"1988","BACKBONE","1988BACKBONE",1,"CDF05001988000150","CDF","FKU",20041006
"1988","BRIDGE","1988BRIDGE",1,"CDF05001988000546","CDF","TCU",20040108
"1988","BUCKEYE","1988BUCKEYE",1,"NPS05001988000140","NPS","KNP",20140506
"1988","BURNEY FIRE","1988BURNEY",1,"CDF05001988000320","CDF","LMU",20070309
"1988","CAMP","1988CAMP",1,"USF05171988000036","USF","LPF",20080520
"1988","CLEARHOUSE","1988CLEARINGHOUSE",1,"USF05161988000046","USF","STF",20041006
"1988","DESK","1988DESK",1,"USF05151988000183","USF","SNF",20041006
"1988","DIVIDE FIRE","1988DIVIDE",1,"CCO05001988000088","CCO","LAC",20080520
"1988","EAST LECONTE","1988EAST_LECONTE",1,"NPS05001988000011","NPS","YNP",20040816
"1988","ECHO","1988ECHO",1,"NPS05001988000015","NPS","YNP",20040819
"1988","EDSON","1988EDSON",1,"NPS05001988000082","NPS","YNP",20041018
"1988","EL PORTAL","1988EL_PORTAL",1,"USF05151988000187","USF","SNF",20041006
"1988","ELBOW","1988ELBOW",1,"NPS05001988000075","NPS","YNP",20040819
"1988","FAWN","1988FAWN",1,"USF05151988000191","USF","SNF",20041006
"1988","GARNET","1988GARNET",1,"USF05151988000248","USF","SNF",20041006
"1988","GRAPEVINE","1988GRAPEVINE",1,"CDF05001988000002","CDF","TGU",20070314
"1988","HAVILAH","1988HAVILAH",1,"USF05131988000157","USF","SQF",20080520
"1988","HERMIT","1988HERMIT",1,"USF05141988000227","USF","SHF",20070605
"1988","HORIZON","1988HORIZON",1,"NPS05001988000049","NPS","YNP",20040819
"1988","LAKE","1988LAKE",1,"USF05151988000037","USF","SNF",0
"1988","LETTS","1988LETTS",1,"USF05081988000050","USF","MNF",20080520
"1988","LIGHTNING #97 (BISON)","1988LIGHTNING97",1,"CDF05001988000257","CDF","LMU",20070307
"1988","MIDDLE FORK","1988MIDDLE_FORK",1,"USF05161988000152","USF","STF",0
"1988","OBELISK","1988OBELISK",1,"USF05151988000124","USF","SNF",20041021
"1988","POWDERHOUSE","1988POWDERHOUSE",1,"USF05081988000042","USF","MNF",20070605
"1988","QUARTZITE","1988QUARTZITE",1,"NPS05001988000122","NPS","YNP",20040819
"1988","RENNER","1988RENNER",1,"USF05091988000166","USF","MDF",20110414
