"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments","DistanceMetric","distance_estimate","DronePlotTree","ExpansionFactor","PlotID_6digit","SlopeDeg","Aspect","SlopeAdjustedDistance","DistanceExpansion","SlopeDistance","HorizontalDistance","DensitySlope","DensityHorizontal"
"C1032T","PIPO",1.59,197,"O","U",NA,2.1,177,159,19,8,NA,"FS",10,20,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,1.58979204920498,1.00013080377093,1.59,1.58979204920498,24.9409771775094,26.2244953377399
"C1032T","PIPO",3.06,52,"O","N",NA,NA,40,33,3,3,NA,"S",30,60,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,3.0015794845507,1.01946325784474,3.06,3.0015794845507,24.9409771775094,26.2244953377399
"C1032T","PSME",1.58,119,"O","U",NA,NA,88,83,12,11,NA,"F",0.5,10,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,1.50730447511194,1.04822882575377,1.58,1.50730447511194,24.9409771775094,26.2244953377399
"C1032T","PIJE",6.2,278,"O","U",NA,NA,140,120,20,8,NA,"S",40,102,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,5.89995028457176,1.05085631250366,6.51530913752269,6.2,24.9409771775094,26.2244953377399
"C1032T","PIPO",3.6,36,"O","N",NA,NA,48,44,7,4,NA,"S",40,50,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,3.57366187525162,1.00737006624236,3.62653223847248,3.6,24.9409771775094,26.2244953377399
"C1032T","PIPJ",3.1,146,"O","U",NA,NA,60,52,10,7,NA,"S",10,50,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,3.01451581628735,1.02835751706818,3.1,3.01451581628735,24.9409771775094,26.2244953377399
"C1032T","PIPO",4.5,181,"O","Y",NA,1,141,131,20,8,NA,"S",40,60,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,4.48740768245538,1.00280614520358,4.5126276534161,4.5,24.9409771775094,26.2244953377399
"C1032T","PIPJ",7.55,81,"O","N",NA,NA,39,29,6,4,NA,"S",30,52,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,7.23347067753448,1.04375898328428,7.55,7.23347067753448,24.9409771775094,26.2244953377399
"C1032T","ABCO",4.8,36,"M","U",NA,NA,56,48,4,8,NA,"S",50,60,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,4.76488250033549,1.00737006624236,4.8353763179633,4.8,24.9409771775094,26.2244953377399
"C1032T","PIPJ",7.61,71,"O","U",NA,NA,75,65,7,8,NA,"S",10,32,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,7.34403990868187,1.03621441258833,7.61,7.34403990868187,24.9409771775094,26.2244953377399
"C1032T","ABCO",4.9,209,"M","N",NA,NA,94,90,21,8,NA,"S",60,124,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,4.88219275137543,1.00364738746121,4.91787219855993,4.9,24.9409771775094,26.2244953377399
"C1032T","ABCO",9.21,112,"O","U",NA,NA,35,29,2,8,NA,"FS",60,46,"N",NA,"slope",NA,FALSE,1,"C1032T",18,104,8.76818162309191,1.05038882585923,9.21,8.76818162309191,24.9409771775094,26.2244953377399
"C1032T","PSME",6.3,302,"O","N",NA,NA,78,73,8,8,NA,"S",50,82,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,6.01863115580536,1.04674964072574,6.59452273657215,6.3,24.9409771775094,26.2244953377399
"C1032T","PIPO",9.3,37,"O","U",NA,2,185,160,20,8,NA,"S",60,60,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,9.226248690553,1.0079936398769,9.37434085085517,9.3,24.9409771775094,26.2244953377399
"C1032T","PIJE",3.9,270,"O","Y",NA,2,161,149,17,7,NA,"S",70,90,"N",NA,"horizontal",NA,FALSE,1,"C1032T",18,104,3.71901483046509,1.04866481522266,4.08979277936837,3.9,24.9409771775094,26.2244953377399
